,State,AgencyType,AgencyName,Population,DrugNarcoticOffenses,DrugNarcoticViolations,DrugEquipmentViolations,GamblingOffenses,BettingWagering,OperatingPromotingAssistingGambling,GamblingEquipmentViolations,SportsTampering,PornographyObsceneMaterial,ProstitutionOffenses,Prostitution,AssistingorPromotingProstitution,WeaponLawViolations
1,ALABAMA,Cities,Hoover,82332.0,308.0,152.0,156.0,,,,,,1.0,,,,25.0
2,ARIZONA,Cities,Apache Junction,36986.0,2069.0,979.0,1090.0,,,,,,16.0,,,,75.0
3,ARIZONA,Cities,Gilbert,214264.0,437.0,208.0,229.0,,,,,,5.0,2.0,1.0,1.0,40.0
4,ARIZONA,Metropolitan Counties,Yuma2,214264.0,66.0,44.0,22.0,,,,,,1.0,,,,4.0
5,ARKANSAS,Cities,Alma,5439.0,44.0,37.0,7.0,,,,,,,,,,8.0
6,ARKANSAS,Cities,Arkadelphia,10698.0,32.0,26.0,6.0,,,,,,,,,,2.0
7,ARKANSAS,Cities,Ashdown,4680.0,3.0,3.0,,,,,,,,,,,
8,ARKANSAS,Cities,Atkins,3057.0,44.0,25.0,19.0,,,,,,,,,,2.0
9,ARKANSAS,Cities,Austin,2076.0,25.0,20.0,5.0,,,,,,,,,,
10,ARKANSAS,Cities,Bald Knob,2950.0,259.0,140.0,119.0,,,,,,1.0,8.0,4.0,4.0,13.0
11,ARKANSAS,Cities,Barling,4718.0,20.0,14.0,6.0,,,,,,,,,,2.0
12,ARKANSAS,Cities,Bay,1845.0,2.0,2.0,,,,,,,,,,,
13,ARKANSAS,Cities,Bearden,961.0,70.0,44.0,26.0,,,,,,,,,,10.0
14,ARKANSAS,Cities,Beebe,7449.0,176.0,109.0,67.0,,,,,,,,,,9.0
15,ARKANSAS,Cities,Bella Vista,27310.0,258.0,166.0,92.0,,,,,,2.0,,,,20.0
16,ARKANSAS,Cities,Benton,31486.0,594.0,328.0,266.0,,,,,,4.0,7.0,7.0,,24.0
17,ARKANSAS,Cities,Bentonville,36433.0,24.0,18.0,6.0,,,,,,,,,,2.0
18,ARKANSAS,Cities,Berryville,5389.0,73.0,69.0,4.0,,,,,,,,,,33.0
19,ARKANSAS,Cities,Blytheville,15506.0,36.0,22.0,14.0,,,,,,,,,,4.0
20,ARKANSAS,Cities,Booneville,3993.0,6.0,2.0,4.0,,,,,,,,,,1.0
21,ARKANSAS,Cities,Bradford,774.0,,,,,,,,,,,,,
22,ARKANSAS,Cities,Brinkley,3171.0,115.0,81.0,34.0,,,,,,,,,,8.0
23,ARKANSAS,Cities,Bryant,17129.0,17.0,9.0,8.0,,,,,,,,,,1.0
24,ARKANSAS,Cities,Bull Shoals,1947.0,136.0,83.0,53.0,,,,,,3.0,,,,13.0
25,ARKANSAS,Cities,Cabot,24212.0,26.0,24.0,2.0,,,,,,,,,,4.0
26,ARKANSAS,Cities,Caddo Valley,632.0,29.0,27.0,2.0,,,,,,,,,,6.0
27,ARKANSAS,Cities,Camden,12118.0,3.0,2.0,1.0,,,,,,,,,,1.0
28,ARKANSAS,Cities,Cammack Village,779.0,6.0,4.0,2.0,,,,,,,,,,2.0
29,ARKANSAS,Cities,Carlisle,2254.0,2.0,2.0,,,,,,,,,,,
30,ARKANSAS,Cities,Cave City,1923.0,,,,,,,,,,,,,
31,ARKANSAS,Cities,Cave Springs,1785.0,2.0,2.0,,,,,,,,,,,1.0
