State,AgencyType,AgencyName,AssaultOffenses,HomicideOffenses,KidnappingAbduction,SexOffenses,SexOffensesNonforcible,Arson,Bribery,BurglaryBreaking&Entering,CounterfeitingForgery,DestructionDamageVandalism,Embezzlement,ExtortionBlackmail,FraudOffenses,LarcenyTheftOffenses,Robbery,StolenPropertyOffenses,DrugNarcoticOffenses,GamblingOffenses,PornographyObsceneMaterial,ProstitutionOffenses,WeaponLawViolations,TotalOffences
ALABAMA,Cities,Hoover,559.0,1.0,14.0,35.0,2.0,1.0,0.0,237.0,58.0,447.0,0.0,1.0,162.0,725.0,21.0,28.0,308.0,0.0,1.0,0.0,25.0,2625.0
ARIZONA,Cities,Apache Junction,1242.0,5.0,54.0,79.0,16.0,25.0,2.0,728.0,163.0,2303.0,20.0,4.0,486.0,2549.0,59.0,100.0,2069.0,0.0,16.0,0.0,75.0,9995.0
ARIZONA,Cities,Gilbert,555.0,26.0,17.0,39.0,24.0,10.0,3.0,363.0,26.0,542.0,0.0,1.0,192.0,644.0,10.0,24.0,437.0,0.0,5.0,2.0,40.0,2960.0
ARIZONA,Metropolitan Counties,Yuma2,197.0,0.0,1.0,4.0,0.0,1.0,0.0,99.0,15.0,97.0,0.0,0.0,13.0,265.0,1.0,9.0,66.0,0.0,1.0,0.0,4.0,773.0
ARKANSAS,Cities,Alma,274.0,5.0,4.0,7.0,0.0,1.0,0.0,106.0,19.0,97.0,0.0,0.0,34.0,340.0,3.0,2.0,44.0,0.0,0.0,0.0,8.0,944.0
ARKANSAS,Cities,Arkadelphia,72.0,0.0,1.0,5.0,1.0,0.0,0.0,32.0,3.0,52.0,0.0,0.0,2.0,126.0,1.0,0.0,32.0,0.0,0.0,0.0,2.0,329.0
ARKANSAS,Cities,Ashdown,22.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,14.0,0.0,0.0,3.0,59.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,139.0
ARKANSAS,Cities,Atkins,14.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,1.0,29.0,0.0,0.0,44.0,0.0,0.0,0.0,2.0,121.0
ARKANSAS,Cities,Austin,71.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,15.0,36.0,0.0,0.0,3.0,105.0,1.0,15.0,25.0,0.0,0.0,0.0,0.0,308.0
ARKANSAS,Cities,Bald Knob,56.0,0.0,2.0,3.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,12.0,58.0,0.0,8.0,259.0,0.0,1.0,8.0,13.0,444.0
